fname,summary
test_0,"#Person1#은 모든 직원에게 내부 메모를 전달하고 즉시 효력을 발휘하도록 지시한다. #Person2#는 사무실 내와 외부 통신에 적용되는 것이 너무 많다고 생각하며, #Person1#의 경고 및 징계 내용을전한다."
test_1,#Person2#는 교통 체증에 걸렸다. #Person1#은 #Person2#에게 대중교통을 이용하고 날씨가 좋을 때 자전거로 출근하라고 조언한다.
test_2,케이트는 #Person1#에게 마샤와 히어로가 이혼하려고 한다고 말한다. 그들은 아이들과 양육권에 대해 이야기한다.
test_3,브라이언은 #Person1#의 생일 파티에 참석하여 그녀와 춤을 추었다.
test_4,"#Person2#는 #Person1#에게 올림픽 스타디움이 6월에 완공될 예정이라고 말하고, 그 안에는 총 5000개의 좌석과 영어로 번역된 표지판들이 있다고 말한다."
test_5,#Person1#은 회사를 그만두고 싶어합니다. #Person2#는 #Person1#에게 사업 계획서 작성에 대한 몇 가지 조언을 해줍니다.
test_6,#Person2#는 가려워하고 #Person1#은 #Person2#가 수두에 걸렸을 수도 있다고 생각한다.
test_7,#Person2#는 세탁 서비스를 추가하여 309호에 머물렀습니다. #Person1#은 #Person2#가 체크아웃하는 데 도움을 줍니다.
test_8,#Person1#은 스티븐에게 아내가 불륜을 발견하고 이혼하려고 한다고 말한다. #Person2#는 그를 설득할 것이다.
test_9,#Person2#는 #Person1#에게 에이브러햄 링컨이 목표를 포기하지 않고 여러 번 직위에 출마한 용기와 위대한 비전을 가지고 있다고 말합니다.
test_10,#Person2#는 #Person1#에게 중국 북부에서 심각한 모래폭풍이 일어나고 있으며 이로 인해 호흡기 감염자 수가 증가하고 있다고 말합니다.
test_11,프란시스는 #Person1#의 생일 파티에 초대되어 선물을 받았다. #Person2#는프란시스에게 그 자동차를 주려고 고민했다고 말한다.
test_12,토니는 스티븐에게 부정행위를 하다 걸렸다고 말한다. 그 사실이 끔찍하기 때문이다.
test_13,톰은 #Person1#에게 아홉시 반 기차를 타기 위해 서둘러야 한다고 말한다.
test_14,#Person1#은 삶을 어떻게 조정해야 할지 모른다. #Person2#는 #Person1#에게 충분한 수면과 매일 아침 운동을하라고 조언한다.
test_15,#Person1#은 #Person2#에게 루오지아가 어제 결혼했다는 소식을 전한다. 그들은 그녀의 집에서 와인잔 한 쌍과 카드를 가져갈 예정이다.
test_16,#Person1#은 #Person2#에게 줄을 당기면 몇몇 적들을 만들 수 있다고 말한다.
test_17,마이크는 #Person1#에게 자신의 누나에 대해 이야기한다.
test_18,#Person1#이 머리가 아파서 #Person2#에게 전화를 합니다.
test_19,#Person2#는 카메라와 MP3 플레이어가 있는 새로운 휴대폰을 사고 싶어합니다.
test_20,주디는 프랭크에게 우체국에서 일하는 것이 나쁘지 않다고 말한다. 왜냐하면 정부가 훌륭한 건강보험 혜택을 제공하기 때문이다.
test_21,"#Person2#는 컴퓨터 프로그램을 작성할 수 있고, 의사 면허와 운전 면허가 있습니다. 케임브리지 시험과 루카스 비서 대학에서 영어 능력 인증서를 통과했고 사무 절차에 대한 교육도 받았습니다."
test_22,"#Person1#은 미디엄 레어로 스테이크를 주문했지만, 너무 익혀져 있고 질겨서 #Person2#에게 다른 것으로 바꿔달라고 요청했습니다."
test_23,#Person1#은 톰의 소설이 노벨상을 받았다는 소식을듣고 기뻐한다.
test_24,#Person2#는 #Person1#에게 #Person2#가 이 일을 할 수 있다고 생각하는 이유와 이전 직장에서의 업무에 대해 이야기합니다.
test_25,#Person1#과 #Person2#는 술을 얼마나 많이 마는지에 대해 이야기하고 있습니다. #Person1#은 보통 나가서 놀 때만 마셔서 자주 마시지는 않습니다.
test_26,"메이의 엄마는 메이에게 피크닉 준비를 도와달라고 요청한다. 메이는 아버지가 가장 좋아하는 소시지, 토스트와 치킨 윙을 원한다."
test_27,"제임스와 뮤리엘 더글라스는 새로운 계정에 대해 이야기하고 있습니다. 그들은 휴가 동안의 여행에대해이야기하며, 제임스가 타호에서 스키를 타는 것을 선호한다고 말합니다."
test_28,"#Person1#은 ATM에서 돈을 뽑아야 합니다. #Person2#는 #Person1#에게 카드를 슬롯에 넣어 달라고 하고 인출 금액을입력하라고 하지만, 출구가 봉쇄되었습니다."
test_29,#Person2#는 #Person1#에게 외향적인 사람이며 동료들과 소통하는 전략이 무엇인지 설명합니다.
