fname,summary
test_0, #Person1# 은 더슨 씨에게 사무실 통신이 이메일 통신과 공식 메모로 제한된다고 말합니다. 이는 사무실 내의 직원들 사이뿐만 아니라 외부 통신에도 적용됩니다. 하지만 실장님은 직원들이 의사소통 방법을 바꾸어야 한다고 주장합니다.        
test_1, #Person2# 는 교통 체증에 걸렸다. #Person1# 는 #Person2# 가 대중교통을 이용하는 것을 제안한다. #Person3# 는 그것이 환경에도 좋다고 생각한다. 왜냐하면 도시의 오염 문제에 더 기여하고 있기 때문이다.                  
test_2,  케이트는 마샤와 히어로가 이혼하려고 한다고 #Person1# 에게 말한다. #Person2# 는 그들이 잘 어울린다고 생각한다. 그들은 이혼이 최종적으로 언제 확정될지에 대해 이야기한다.               
test_3, #Person1# 은 브라이언의 생일을 축하하기 위해 파티에 왔다. #Person2# 는 #Person1# 의 목걸이가 드레스와 잘 어울리길 바란다.                       
test_4, #Person2# 는 #Person1# 에게 올림픽 스타디움에 5000개의 좌석이 있다고 말합니다. #Person2# 의 관람석은 트랙이고 등반 금지 표지판이 있습니다.                        
test_5," #Person2# 는 #Person1# 에게 #Person2# 가 회사를 그만두려고 한다고 말한다. 왜냐하면 사업 계획서에는 사업 아이디어를 두 페이지 이내로 강조하는 요약문이 포함되어야 하고, 상품이나 서비스를 소개하고 설명해야 하며, 수백 가지 변수를 조사하고 분석해야 하기 때문이다.     "
test_6," #Person2# 는 #Person1# 에게 수두에 걸렸다고 말하고, #Person2# 가 전염성이 있다고 말한다.                                   "
test_7, #Person2# 는 세탁 서비스를 이용하지 않아 #Person1# 이 청구서를 받을 수 없습니다. #Person2# 가 세탁 서비스 비용을 추가한 것에 대해 사과하고 관련 부서에 확인해 보라고 합니다.                    
test_8,  스티븐은 #Person1# 에게 비서와의 불륜을 발견했다고 말한다. #Person2# 는 그녀에게 이혼을 재고하도록 설득할 것이다.                            
test_9, #Person2# 는 #Person1# 에게 건전한 성격을 가진 남자 또는 여자로 눈에 띄는 사람이 에이브러햄 링컨이라고 말합니다.                             
test_10, #Person2# 는 #Person1# 에게 중국 북부에서 심각한 모래폭풍이 일어나고 있다고 말합니다.                                     
test_11,  프란시스는 #Person1# 에게 리모컨 자동차를 선물로 준다.                                      
test_12,  스티븐이 토니에게 큰 실수를 했다고 말한다. 토니는 그가 열심히 공부해야 한다고 생각한다.                                   
test_13,  톰은 #Person1# 에게 아홉시 반에 기차를 타야 한다고 말한다.                                     
test_14, #Person1# 은 #Person2# 에게 자신의 삶을 어떻게 조정해야 할지 조언을 구합니다.                                       
test_15, #Person2# 는 #Person1# 에게 오늘 밤 루오지아의 파티에 가고 싶다고 말한다. #Person2# 의 이메일을 확인하러 가려고 한다.                           
test_16, #Person1# 은 #Person2# 에게 줄기를 당기고 뒷면을 벗기는 방법을 가르친다.                                     
test_17, #Person1# 은 마이크에게 그녀의 누나의 외모와 자만심에 대해 이야기한다.                                       
test_18, #Person2# 는 머리가 아파서 #Person1# 에게 체온계로 온도를 재달라고 요청합니다.                                    
test_19, #Person1# 은 새로운 휴대폰을 사고 싶어합니다. #Person2# 는 #Person1# 에게 비디오 통화도 가능하도록 도와줍니다.                                
test_20,  프랭크는 주디에게 우체국에서 일하게 될 것이라고 말한다. 주디는 그것이 좋은 복지 혜택이라고 생각한다.                               
test_21," #Person2# 는 컴퓨터 프로그램을 작성할 수 있고, 비서 기술에 능숙하다. #Person1# 는 #Person2# 에게 자격증과 직업에 대한 경험에 대해 소개한다.                       "
test_22, #Person1# 은 미디엄 레어를 주문했지만 너무 익혀져 있고 질긴 스테이크를 원합니다. #Person2# 는 #Person1# 에게 다른 걸로 가져다 줄 것입니다.                      
test_23, #Person1# 은 톰에게 소설이 노벨상을 받았다는 소식을 전한다.                                          
test_24, #Person2# 는 #Person1# 에게 이전 직장에서 #Person2# 가 담당했던 업무에 대해 설명합니다.                                    
test_25," #Person2# 는 #Person1# 에게 술을 얼마나 자주 마시는지에 대해 이야기합니다. #Person2# 의 술은 보통 밤새도록 마실 수 있고, 보통 10잔을 마십니다. 그들은 내일 밤 램 바 앤 그릴에서 피처맥주 특별 할인을 받을 예정입니다. "
test_26, #Person1# 은 메이의 피크닉 준비를 도와준다. 메이는 토스트와 치킨 윙을 좋아하고 다니엘에게 도움을 청할 것이다.                          
test_27,  뮤리엘 더글라스씨는 동료인 수잔 김과 함께 타호에서 스키를 타는 것을 즐겼습니다. 제임스도 그녀를 좋아합니다.                          
test_28, #Person1# 은 ATM에서 돈을 너무 많이 쓰는 바보 같은 여자에게 돈을 인출하려고 합니다. #Person2# 는 #Person1# 에게 유니버설 은행을 이용해 달라고 요청합니다.                    
test_29, #Person2# 는 #Person1# 에게 #Person2# 가 친구들과 함께하는 것을 좋아하는 외향적인 사람이라고 말합니다.                                   
test_30,  폴리 씨는 끔찍한 일에서 벗어나고 싶어한다. #Person1# 은 폴리 씨에게 탄산 음료 한 병을 사다 달라고 요청한다.                             
test_31,  프란시스는 모니카에게 재무 보고서를 언제 작업할 수 있는지 알려줍니다.                                     
test_32," #Person1# 과 #Person2# 는 다음 주에 있는 면접을 준비하기 위해 워크숍에 참석합니다. #Person1# 은 깔끔하고 적절하게 옷을 입어야 한다고 생각하며, 태도와 친절함이 도움이 된다고 생각합니다.                                      "
test_33,"  컷은 마이크에게 제이슨과 로라의 분위기가 맞지 않다고 말한다. 마이크는 컷에게 그녀의 행동이 분노와 슬픔을 동시에 느낀다고 말하고, #Person1# 은 그녀의 방식으로 한 번 시도해 보라고 조언한다.                                  "
test_34, #Person1# 은 토드 부인을 쇼핑하러 가려고 기다리고 있습니다. 토드는 #Person1# 에게 그녀가 정원에 있는 #Person2# 를 방문하고 싶어한다고 말합니다.                                              
test_35," #Person1# 은 빌에게 피곤하다고 말합니다. 빌은 #Person1# 에게 집에 가서 쉬고 싶다고 말하지만, #Person2# 는 아직 돌아오지 않았습니다.                                               "
test_36,  클레오와 사이먼은 핵무기 확산 반대 시위에 대해 이야기하고 있다. 그들은 서로 다른 생각을 가지고 있지만 결국 평화로운 시위로 가기로 결정한다.                                             
test_37, #Person1# 은 #Person2# 에게 예상하지 못한 사람을 절대로 들여보내지 말라고 조언한다.                                                           
test_38,  마크는 매일 슈퍼마켓에서 일하기 때문에 매기의 노트를 빌리고 싶어한다. 매기는 마크에게 수업 중에 깨어 있게 해줄 사람이 필요하다면 함께 공부할 것을 제안한다.                                        
test_39, #Person1# 은 터너 교수에게 다음 학기에 고급 지질학 과목을 다시 강의하려고 합니다. #Person2# 는 #Person1# 에게 등록을 허락해 달라고 요청합니다.                                            
test_40, #Person1# 은 상점에서 펜던트를 샀습니다. #Person2# 는 #Person1# 에게 새 것으로 교체해달라고 요청합니다.                                                      
test_41, #Person1# 은 #Person2# 의 스웨터가 너무 구린 것 같다고 생각해서 #Person1# 에게 옷을 바꾸라고 요청한다. #Person3# 는 셔츠를 반품하고 세일 끝날 때까지 돌아오지 않는다.                                     
test_42, #Person2# 는 #Person1# 에게 미디어 쪽에서 일하는 것이 재밌을 것 같다고 말한다. #Person2# 은 잡지를 위해 글을 쓰는 것을 좋아한다.                                                 
test_43, #Person2# 는 #Person1# 에게 연설자들이 지루한 연설만 하고 있다고 말한다. #Person2# 도 지루하더라도 집중해서 듣고 노트를 해야 한다고 생각한다. 그들은 십자말풀이 같은 게임 섹션에 대해 이야기한다.                                  
test_44,  사라는 #Person1# 에게 회사 근처에 집을 사는 것이 비쌀 수 있지만 더 저렴한 집을 찾을 수 있다고 말한다. #Person2# 의 시누이와 남편이 방금 그런 식으로 집을 샀다.                                       
test_45," #Person1# 은 #Person2# 에게 런던의 정보 담당관 마크 리치를 소개합니다. 마크는 런던에 위치한 영국 관광청의 관광 사무소인 브리튼 비즈니스 센터에서 매년 50만 명의 방문객들을 대상으로 관광 정보 서비스를 제공하고 있습니다. 그는 또한 13개의 언어를 구사할 수 있으며, 런던에서 하루 여행을 원한다면 어디를 방문하고 어떤 길을 선택해야 하는지 계획을 세울 수 있습니다. "
test_46,  린팡은 루시에게 루시가 영어를 가장 좋아하는 과목이라고 말한다. 루시는 낸시도 영어가 어렵다고 생각하지만 낸시는 수학이 최악이라고 생각한다.                                         
test_47,"  제임스는 #Person1# 에게 마당에 낙엽을 치우고 쓰레기를 버렸다고 말한다. 그녀는 왕자님이 다리가 부러진 이후로 집안일을 돌보는 것이 너무 힘들었다고 말하고, 주말에 자전거를 사려고 저축하고 있다.                              "
test_48, #Person1# 은 #Person2# 에게 봄이 왔지만 밤에는 여전히 매우 춥다고 말합니다.                                                          
test_49,"  마이크는 #Person1# 에게 제이슨과 로라의 반응이 화와 슬픔의 혼합일 수 있다고 말하지만, #Person2# 는 대부분의 남자들이 그렇게 반응할 것이라고 생각하고, 나중에 그의 진짜 감정을 볼 수 있을 것이라고 생각한다.                                 "
